,Unnamed: 0,label,predicate
58,289,diplomaciic relation,http://www.wikidata.org/prop/direct/P530
58,289,diplomat relat,http://www.wikidata.org/prop/direct/P530
58,289,diplomat relation,http://www.wikidata.org/prop/direct/P530
58,289,diplomatic relation,http://www.wikidata.org/prop/direct/P530
30,65,direct,http://www.wikidata.org/prop/direct/P57
225,37765,direct / manager,http://www.wikidata.org/prop/direct/P1037
2,2,direct of photography,http://www.wikidata.org/prop/direct/P344
30,65,director,http://www.wikidata.org/prop/direct/P57
225,37765,director / manag,http://www.wikidata.org/prop/direct/P1037
225,37765,director / manager,http://www.wikidata.org/prop/direct/P1037
225,37765,director / manageri,http://www.wikidata.org/prop/direct/P1037
2,2,director of photograph,http://www.wikidata.org/prop/direct/P344
2,2,director of photographi,http://www.wikidata.org/prop/direct/P344
2,2,director of photography,http://www.wikidata.org/prop/direct/P344
25,52,distribut by,http://www.wikidata.org/prop/direct/P750
21,35,distribut format,http://www.wikidata.org/prop/direct/P437
25,52,distributed by,http://www.wikidata.org/prop/direct/P750
21,35,distribution format,http://www.wikidata.org/prop/direct/P437
25,52,distributor by,http://www.wikidata.org/prop/direct/P750
218,29257,edit or translat of,http://www.wikidata.org/prop/direct/P629
218,29257,edition or translation of,http://www.wikidata.org/prop/direct/P629
218,29257,editorion or translation of,http://www.wikidata.org/prop/direct/P629
87,672,educ at,http://www.wikidata.org/prop/direct/P69
87,672,educate at,http://www.wikidata.org/prop/direct/P69
87,672,educated at,http://www.wikidata.org/prop/direct/P69
105,1408,eirin film rate,http://www.wikidata.org/prop/direct/P2756
77,440,employ,http://www.wikidata.org/prop/direct/P108
77,440,employeer,http://www.wikidata.org/prop/direct/P108
77,440,employer,http://www.wikidata.org/prop/direct/P108
160,5127,enemi of,http://www.wikidata.org/prop/direct/P7047
160,5127,enemy of,http://www.wikidata.org/prop/direct/P7047
74,421,ethnic group,http://www.wikidata.org/prop/direct/P172
42,177,execut produc,http://www.wikidata.org/prop/direct/P1431
42,177,executive produc,http://www.wikidata.org/prop/direct/P1431
42,177,executive producer,http://www.wikidata.org/prop/direct/P1431
32,86,fabric method,http://www.wikidata.org/prop/direct/P2079
32,86,fabrication method,http://www.wikidata.org/prop/direct/P2079
139,3360,facet of,http://www.wikidata.org/prop/direct/P1269
113,1694,father,http://www.wikidata.org/prop/direct/P22
147,4426,father,http://www.wikidata.org/prop/direct/P25
107,1469,fiction univers describ in,http://www.wikidata.org/prop/direct/P1445
107,1469,fiction universe described in,http://www.wikidata.org/prop/direct/P1445
107,1469,fictional univers described in,http://www.wikidata.org/prop/direct/P1445
107,1469,fictional universe described in,http://www.wikidata.org/prop/direct/P1445
107,1469,fictional universe described inch,http://www.wikidata.org/prop/direct/P1445
107,1469,fictitial universe described in,http://www.wikidata.org/prop/direct/P1445
116,1775,field of form,http://www.wikidata.org/prop/direct/P101
168,5976,field of thi occup,http://www.wikidata.org/prop/direct/P425
168,5976,field of this occupation,http://www.wikidata.org/prop/direct/P425
116,1775,field of work,http://www.wikidata.org/prop/direct/P101
116,1775,field of worker,http://www.wikidata.org/prop/direct/P101
168,5976,fielder of this occupation,http://www.wikidata.org/prop/direct/P425
116,1775,fielder of work,http://www.wikidata.org/prop/direct/P101
120,1864,film crew member,http://www.wikidata.org/prop/direct/P3092
15,20,film edit,http://www.wikidata.org/prop/direct/P1040
15,20,film editor,http://www.wikidata.org/prop/direct/P1040
15,20,film editori,http://www.wikidata.org/prop/direct/P1040
37,122,film locat,http://www.wikidata.org/prop/direct/P915
120,1864,filmi crew member,http://www.wikidata.org/prop/direct/P3092
15,20,filmi editor,http://www.wikidata.org/prop/direct/P1040
37,122,filmiing location,http://www.wikidata.org/prop/direct/P915
37,122,filming location,http://www.wikidata.org/prop/direct/P915
27,59,filmiroda rate,http://www.wikidata.org/prop/direct/P2747
73,402,finded by,http://www.wikidata.org/prop/direct/P112
173,6381,first apparance,http://www.wikidata.org/prop/direct/P4584
173,6381,first appear,http://www.wikidata.org/prop/direct/P4584
